top - 03:20:00 up  2:06,  1 user,  load average: 0.00, 0.03, 0.01
Tasks: 318 total,   1 running, 317 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.6 us, 21.1 sy,  0.0 ni, 76.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    193.0 free,   2062.6 used,   1813.4 buff/cache     
MiB Swap:   3731.0 total,   3730.5 free,      0.5 used.   1805.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2257 viswa     20   0  543184  11500   9964 S   0.0   0.3   0:00.05 gsd-sha+
   2258 viswa     20   0  385816   8212   7316 S   0.0   0.2   0:00.04 gsd-sma+
   2260 viswa     20   0  393632   9624   8472 S   0.0   0.2   0:00.04 gsd-sou+
   2262 viswa     20   0  485932  19168  15840 S   0.0   0.5   0:00.20 gsd-wac+
   2291 viswa     20   0  823708  63288  49592 S   0.0   1.6   0:00.48 evoluti+
   2301 viswa     20   0  305624   7336   6184 S   0.0   0.2   0:00.03 gsd-dis+
   2367 viswa     20   0  536764  10904   9112 S   0.0   0.3   0:00.20 gvfs-ud+
   2384 viswa     20   0  546656  24260  20676 S   0.0   0.6   0:00.07 goa-dae+
   2446 viswa     20   0  416236  15080  13160 S   0.0   0.4   0:00.06 gsd-pri+
   2459 viswa     20   0  890720  24224  20896 S   0.0   0.6   0:00.21 evoluti+
   2469 viswa     20   0  236644   6956   6444 S   0.0   0.2   0:00.01 ibus-me+
   2470 viswa     20   0  420956  28400  17140 S   0.0   0.7   0:03.06 ibus-ex+
   2471 viswa     20   0  309772   6448   5936 S   0.0   0.2   0:00.06 gvfs-go+
   2476 viswa     20   0  310424   7188   6676 S   0.0   0.2   0:00.05 ibus-po+
   2490 viswa     20   0  389124   9164   8268 S   0.0   0.2   0:00.04 goa-ide+
   2510 viswa     20   0  825432  30068  26100 S   0.0   0.8   0:00.14 evoluti+
   2518 viswa     20   0  309792   6380   5868 S   0.0   0.2   0:00.07 gvfs-mt+
   2529 viswa     20   0  389376   7984   6960 S   0.0   0.2   0:00.51 gvfs-af+
   2537 viswa     20   0  310760   7052   6412 S   0.0   0.2   0:00.05 gvfs-gp+
   2565 viswa     20   0  236768   7296   6656 S   0.0   0.2   0:03.36 ibus-en+
   2582 viswa     20   0  230224   5768   5256 S   0.0   0.1   0:00.07 dconf-s+
   2610 viswa     20   0  236304   6408   5896 S   0.0   0.2   0:00.03 gvfsd-m+
   2611 viswa     20   0  609440   9020   7740 S   0.0   0.2   0:00.10 gvfsd-t+
   2654 viswa     39  19  734404  23848  17416 S   0.0   0.6   0:00.59 tracker+
   2659 viswa     20   0 2867384  27324  22200 S   0.0   0.7   0:00.24 gjs
   2676 viswa     20   0  701600  14300  11616 S   0.0   0.4   0:00.35 xdg-des+
   2686 viswa     20   0  974676  41196  31084 S   0.0   1.0   0:00.34 xdg-des+
   2782 viswa     20   0  417196  24980  18196 S   0.0   0.6   0:00.21 xdg-des+
   2854 viswa     20   0  568704  32956  25532 S   0.0   0.8   0:00.63 update-+
   2927 viswa     20   0   11.3g 540828 233236 S   0.0  13.7   2:24.10 firefox
   3067 viswa     20   0   21284   4272   3888 S   0.0   0.1   0:00.01 crashhe+
   3137 viswa     20   0  295816  34300  25596 S   0.0   0.9   0:00.12 forkser+
   3142 viswa     20   0  308148  39452  29832 S   0.0   1.0   0:00.06 Socket +
   3176 viswa     20   0 2807948 334148  91016 S   0.0   8.4   0:41.11 Privile+
   3184 viswa     20   0  473536  75528  63068 S   0.0   1.9   0:00.45 RDD Pro+
   3223 viswa     20   0 1765384  23932  16168 S   0.0   0.6   0:00.34 snap
   3533 viswa     20   0 2453324  89684  66080 S   0.0   2.3   0:01.21 WebExte+
   3718 viswa     20   0  443240  49904  38104 S   0.0   1.3   0:00.21 Utility+
   3737 viswa     20   0 2737816 231504 101924 S   0.0   5.8   0:31.87 Isolate+
   4260 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   4684 root       0 -20       0      0      0 I   0.0   0.0   0:00.28 kworker+
   4844 root      20   0       0      0      0 I   0.0   0.0   0:00.59 kworker+
   4930 root      20   0  480816  41872  35472 S   0.0   1.1   0:00.51 fwupd
   5087 viswa     20   0  314496   8432   7536 S   0.0   0.2   0:00.04 gvfsd-r+
   5191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5378 viswa     20   0 2891680 379592 120732 S   0.0   9.6   0:18.54 Isolate+
   5426 viswa     20   0 2418344  67760  53652 S   0.0   1.7   0:00.06 Web Con+
   5432 viswa     20   0 2418344  67888  53652 S   0.0   1.7   0:00.06 Web Con+
   5465 viswa     20   0 2418344  67760  53652 S   0.0   1.7   0:00.05 Web Con+
   5595 viswa     20   0   31904  19120  10800 S   0.0   0.5   0:00.11 gnome-t+
   5596 viswa     20   0  458424  27748  20580 S   0.0   0.7   0:00.16 gnome-t+
   5602 viswa     20   0  559824  58772  45716 S   0.0   1.5   0:04.77 gnome-t+
   5618 viswa     20   0   11264   5280   3744 S   0.0   0.1   0:00.01 bash
   5738 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5743 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5746 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5931 root      20   0       0      0      0 I   0.0   0.0   0:00.86 kworker+
   6002 root      20   0       0      0      0 I   0.0   0.0   0:00.53 kworker+
   6029 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
   6067 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
   6222 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
   6249 root      20   0       0      0      0 I   0.0   0.0   0:00.38 kworker+
   6286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6340 viswa     20   0 3086836  66672  51696 S   0.0   1.7   0:00.71 gjs
   6364 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6387 root      20   0       0      0      0 I   0.0   0.0   0:00.56 kworker+
   6408 viswa     20   0   31904  19176  10856 S   0.0   0.5   0:00.10 gnome-t+
   6409 viswa     20   0  458424  27708  20412 S   0.0   0.7   0:00.10 gnome-t+
   6415 viswa     20   0   11264   5288   3752 S   0.0   0.1   0:00.08 bash
   6788 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7239 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
   7240 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7303 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7315 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
   7338 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7339 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7340 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7341 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7342 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7343 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7344 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7373 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7375 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
   7376 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
